pk,cod,des,pr,lastupdate,DataFineVal
7217,403097080,TORRE DE' BUSI,LC,2021-09-01 12:59:33,26/01/2018 00:00:00
7290,401001277,TRAUSELLA,TO,2021-09-01 12:59:33,31/12/2018 00:00:00
7308,408040049,TREDOZIO,FO,2021-09-01 12:59:33,15/04/1992 00:00:00
7313,403097081,TREMENICO,LC,2021-09-01 12:59:33,31/12/2017 00:00:00
7316,403017189,TREMOSINE,BS,2021-09-01 12:59:33,11/11/2013 00:00:00
7321,406030125,TREPPO CARNICO,UD,2021-09-01 12:59:33,31/01/2018 00:00:00
7328,408038024,TRESIGALLO,FE,2021-09-01 12:59:33,31/12/2018 00:00:00
7354,405025061,TRICHIANA,BL,2021-09-01 12:59:34,29/01/2019 00:00:00
7369,401096070,TRIVERO,BI,2021-09-01 12:59:34,31/12/2018 00:00:00
7374,404021102,TRODENA,BZ,2021-09-01 12:59:34,18/03/2008 00:00:00
7411,403013228,UGGIATE-TREVANO,CO,2021-09-01 12:59:34,31/12/2023 00:00:00
7420,411041066,URBANIA,PS,2021-09-01 12:59:34,31/12/1998 00:00:00
7422,411041067,URBINO,PS,2021-09-01 12:59:34,31/12/1998 00:00:00
7510,401096073,VALLE MOSSO,BI,2021-09-01 12:59:35,31/12/2018 00:00:00
7519,411041068,VALLEFOGLIA,PS,2021-09-01 12:59:35,09/06/2025 00:00:00
7539,401004236,VALMALA,CN,2021-09-01 12:59:35,31/12/2018 00:00:00
7551,405024114,VALSTAGNA,VI,2021-09-01 12:59:35,29/01/2019 00:00:00
7558,403018170,VALVERDE,PV,2021-09-01 12:59:35,31/12/2018 00:00:00
7575,404022211,VARENA,TN,2021-09-01 12:59:36,31/12/2019 00:00:00
7615,403097085,VENDROGNO,LC,2021-09-01 12:59:36,31/12/2019 00:00:00
7641,408040050,VERGHERETO,FO,2021-09-01 12:59:36,15/04/1992 00:00:00
7643,403015235,VERMEZZO,MI,2021-09-01 12:59:36,07/02/2019 00:00:00
7666,401003157,VERUNO,NO,2021-09-01 12:59:36,31/12/2018 00:00:00
7679,403097089,VESTRENO,LC,2021-09-01 12:59:36,31/12/2017 00:00:00
7701,401001297,VICO CANAVESE,TO,2021-09-01 12:59:37,31/12/2018 00:00:00
7725,405028098,VIGHIZZOLO D'ESTE,PD,2021-09-01 12:59:37,21/01/2024 00:00:00
7737,404022217,VIGO DI FASSA,TN,2021-09-01 12:59:37,31/12/2017 00:00:00
7769,403020067,VILLA POMA,MN,2021-09-01 12:59:37,31/12/2017 00:00:00
7782,406030134,VILLA VICENTINA,UD,2021-09-01 12:59:37,31/01/2018 00:00:00
7934,404022225,ZAMBANA,TN,2021-09-01 12:59:39,31/12/2018 00:00:00
7945,403015246,ZELO SURRIGONE,MI,2021-09-01 12:59:39,07/02/2019 00:00:00
